epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,336.431,0.92262,0.67021,1.25098,0.86188,0.86667,0.92853,0.65237,1.15019,0.7445,1.42795,0.000581,0.000581,0.000581
45,344.05,0.89935,0.64508,1.23497,0.95292,0.8,0.92718,0.65726,1.09482,0.7,1.38467,0.000548,0.000548,0.000548
46,351.658,0.92328,0.68505,1.25664,0.92881,0.66667,0.79407,0.59808,1.18058,1.01308,1.57025,0.000515,0.000515,0.000515
47,359.257,0.90399,0.67525,1.25278,0.89585,0.86035,0.92439,0.64554,1.2005,0.76805,1.46473,0.000482,0.000482,0.000482
48,366.873,0.85883,0.62518,1.21888,0.91616,0.86667,0.93469,0.63826,1.19882,0.81578,1.49105,0.000449,0.000449,0.000449
49,374.473,0.8834,0.62677,1.25778,0.91314,0.8,0.90254,0.62779,1.06733,0.75429,1.41836,0.000416,0.000416,0.000416
50,382.087,0.81789,0.5999,1.20117,0.8756,0.86667,0.92868,0.6515,1.11251,0.68948,1.41655,0.000383,0.000383,0.000383
51,401.475,0.76569,0.55962,1.21251,0.81648,0.86667,0.9091,0.65283,1.01549,0.79459,1.39663,0.00035,0.00035,0.00035
52,409.015,0.74721,0.53647,1.20428,0.85161,0.86667,0.91953,0.63571,1.08478,0.69712,1.45164,0.000317,0.000317,0.000317
53,416.607,0.77898,0.50514,1.21902,0.99644,0.86667,0.94687,0.65425,1.09196,0.66616,1.45495,0.000284,0.000284,0.000284
54,424.206,0.74881,0.51731,1.20118,0.96706,0.83333,0.9412,0.69987,1.01878,0.62518,1.41112,0.000251,0.000251,0.000251
55,431.772,0.70819,0.47987,1.15855,1,0.8532,0.94303,0.68227,1.02998,0.6665,1.40006,0.000218,0.000218,0.000218
56,439.32,0.706,0.47198,1.14409,0.92742,0.85219,0.93715,0.67992,1.01625,0.65637,1.38853,0.000185,0.000185,0.000185
57,446.879,0.68401,0.44124,1.14361,0.95245,0.8,0.91823,0.65244,1.07785,0.64594,1.42866,0.000152,0.000152,0.000152
58,454.454,0.69084,0.45276,1.14836,0.93285,0.8,0.92509,0.66141,1.10179,0.63958,1.43412,0.000119,0.000119,0.000119
59,461.999,0.66593,0.43337,1.12291,0.91313,0.83333,0.92468,0.67217,1.07092,0.63117,1.38515,8.6e-05,8.6e-05,8.6e-05
60,469.562,0.65971,0.44018,1.10722,0.95449,0.83333,0.9398,0.68112,1.05826,0.6277,1.38021,5.3e-05,5.3e-05,5.3e-05
